step	error
1e-16	0.33142224155375166
1e-15	0.0016446658337954112
1e-14	0.0016446658337953002
1e-13	0.0005757802154550129
1e-12	2.066870314243463e-05
1e-11	1.5357573500685007e-06
1e-10	4.2553432544334413e-07
1e-09	1.8554884406718486e-08
1e-08	7.45265416046692e-09
1e-07	3.8538898849971304e-08
1e-06	3.8936937463152077e-07
9.999999999999999e-06	3.893932680965051e-06
9.999999999999999e-05	3.8933549444619686e-05
0.001	0.0003887513587198521
0.01	0.00382907405754207
0.09999999999999999	0.03244378693233374
1.0	0.10539922456186435
